Code #,Postal code,Rent,City,Street,SqMeter,Land,Lat,Lng,Bedrooms,Attic,Basement,Garage,Pool,Office,Energy,Image,Link
8738417,5380,1150,Noville-les-Bois,rue du Quambeau 30,140,0,50.547821,4.9701014,3,No,No,Yes,No,Yes,B,https://static.immoweb.be/photos/0/8/7/3/8/4/1/7/M_8738417_1.jpg?cache=20200526030955,https://www.immoweb.be/fr/annonce/maison/a-louer/noville-les-bois/5380/8738417
8737867,1300,1300,Wavre,,220,1000,,,5,Yes,Yes,Yes,No,No,F,https://static.immoweb.be/photos/0/8/7/3/7/8/6/7/M_8737867_1.jpg?cache=20200525223716,https://www.immoweb.be/fr/annonce/maison/a-louer/wavre/1300/8737867
8164332,5020,1450,Malonne,rue Champ de Malonne 7,200,900,50.4285943,4.788599,4,No,No,No,No,Yes,,https://static.immoweb.be/photos/0/8/1/6/4/3/3/2/M_8164332_2.jpg?cache=20200403135658,https://www.immoweb.be/fr/annonce/maison/a-louer/malonne/5020/8164332
7088490,5001,990,Belgrade,rue Deneumoustier 60,145,695,50.468852,4.825357,4,Yes,Yes,Yes,No,No,F,https://static.immoweb.be/photos/0/7/0/8/8/4/9/0/M_7088490_1.jpg?cache=20170730130920,https://www.immoweb.be/fr/annonce/maison/a-louer/belgrade/5001/7088490
8736394,1435,1450,Mont-St-Guibert,Rue desTilleuls 33,160,1200,50.6243303,4.6169427,4,No,Yes,No,No,No,,https://static.immoweb.be/photos/0/8/7/3/6/3/9/4/M_8736394_1.jpg?cache=20200525064703,https://www.immoweb.be/fr/annonce/maison/a-louer/mont-st-guibert/1435/8736394
8735921,1342,1200,Limelette,avenue Jacques Georgin 30,150,350,50.6805912,4.5696538,4,Yes,No,No,No,No,C,https://static.immoweb.be/photos/0/8/7/3/5/9/2/1/M_8735921_12.jpg?cache=20200524184625,https://www.immoweb.be/fr/annonce/maison/a-louer/limelette/1342/8735921
8735861,5000,1100,Namur,Chaussée de Charleroi 75,150,200,50.4621794,4.8411887,5,No,Yes,No,No,No,,https://static.immoweb.be/photos/0/8/7/3/5/8/6/1/M_8735861_1.jpg?cache=20200524165607,https://www.immoweb.be/fr/annonce/maison/a-louer/namur/5000/8735861
8735606,1325,1300,Chaumont-Gistoux,Rue Arsène Matton 24,140,216,50.7034121,4.6616912,4,Yes,No,No,No,No,A+,https://static.immoweb.be/photos/0/8/7/3/5/6/0/6/M_8735606_1.jpg?cache=20200524124813,https://www.immoweb.be/fr/annonce/maison/a-louer/chaumont-gistoux/1325/8735606
8735600,5380,1100,HINGEON,Rue Saint-Roch 11,150,371,50.5228524,5.0089535,3,No,No,Yes,No,No,B,https://static.immoweb.be/photos/0/8/7/3/5/6/0/0/M_8735600_1.jpg?cache=20200524113519,https://www.immoweb.be/fr/annonce/maison/a-louer/hingeon/5380/8735600
8025161,1325,1750,Chaumont-Gistoux,Av del Pirère 32,200,1200,50.6884397,4.6421832,3,Yes,Yes,Yes,No,Yes,,https://static.immoweb.be/photos/0/8/0/2/5/1/6/1/M_8025161_1.jpg?cache=20190316135911,https://www.immoweb.be/fr/annonce/maison/a-louer/chaumont-gistoux/1325/8025161
4439715,5000,1300,Namur,Rue de Bricgniot 139,221,3200,50.4794749,4.8304286,3,No,No,Yes,No,No,,https://static.immoweb.be/photos/0/4/4/3/9/7/1/5/M_4439715_1.jpg?cache=20200515080932,https://www.immoweb.be/fr/annonce/maison/a-louer/namur/5000/4439715
8728991,1300,1380,Wavre,,200,0,,,4,No,No,Yes,No,Yes,E,https://static.immoweb.be/photos/0/8/7/2/8/9/9/1/M_8728991_1.jpg?cache=20200520105927,https://www.immoweb.be/fr/annonce/maison/a-louer/wavre/1300/8728991
8728047,1301,1175,Wavre,,140,300,,,4,Yes,Yes,Yes,No,No,C,https://static.immoweb.be/photos/0/8/7/2/8/0/4/7/M_8728047_1.jpg?cache=20200520034957,https://www.immoweb.be/fr/annonce/maison/a-louer/wavre/1301/8728047
8726400,1300,1300,Wavre,,170,0,,,3,No,Yes,Yes,No,Yes,E,https://static.immoweb.be/photos/0/8/7/2/6/4/0/0/M_8726400_1.jpg?cache=20200519104951,https://www.immoweb.be/fr/annonce/maison/a-louer/wavre/1300/8726400
8726296,1370,1300,Jodoigne,rue de la Couverterie 1,270,1201,50.7399346,4.8004372,5,Yes,Yes,No,No,Yes,D,https://static.immoweb.be/photos/0/8/7/2/6/2/9/6/M_8726296_1.jpg?cache=20200519110125,https://www.immoweb.be/fr/annonce/maison/a-louer/jodoigne/1370/8726296
8726269,1435,1325,Corbais,Rue de la Tour 13A,190,500,50.6311111,4.6458333,3,Yes,Yes,Yes,No,Yes,A,https://static.immoweb.be/photos/0/8/7/2/6/2/6/9/M_8726269_26.jpg?cache=20200522080603,https://www.immoweb.be/fr/annonce/maison/a-louer/corbais/1435/8726269
8726032,1370,1500,JODOIGNE-SOUVERAINE,,260,2000,,,4,No,Yes,Yes,No,No,E,https://static.immoweb.be/photos/0/8/7/2/6/0/3/2/M_8726032_1.jpg?cache=20200519075425,https://www.immoweb.be/fr/annonce/maison/a-louer/jodoigne-souveraine/1370/8726032
8722959,1315,1100,Incourt,,140,500,,,3,No,No,No,No,No,,https://static.immoweb.be/photos/0/8/7/2/2/9/5/9/M_8722959_18.jpg?cache=20200517145723,https://www.immoweb.be/fr/annonce/maison/a-louer/incourt/1315/8722959
8725693,1495,1150,Marbais,,140,461,,,4,Yes,No,Yes,No,Yes,B,https://static.immoweb.be/photos/0/8/7/2/5/6/9/3/M_8725693_1.jpg?cache=20200519035930,https://www.immoweb.be/fr/annonce/maison/a-louer/marbais/1495/8725693
8725659,1325,1300,Chaumont-Gistoux Corroyle-Grand,,186,800,,,3,Yes,No,Yes,No,Yes,E,https://static.immoweb.be/photos/0/8/7/2/5/6/5/9/M_8725659_1.jpg?cache=20200519033949,https://www.immoweb.be/fr/annonce/maison/a-louer/chaumont-gistoux-corroyle-grand/1325/8725659
8723595,1340,1950,Ottignies,Rue des Vergers 10,217,1245,50.6801866,4.5400843,5,No,No,Yes,No,No,B,https://static.immoweb.be/photos/0/8/7/2/3/5/9/5/M_8723595_1.jpg?cache=20200518070234,https://www.immoweb.be/fr/annonce/maison/a-louer/ottignies/1340/8723595
